owner_id,owner_name,region,share_type,tenure_years,days_until_renewal,utilization_rate_12m,complaints_12m,days_since_last_flight,avg_satisfaction_score,churn_prob,risk_band,churned_within_12m
PL-0213,Steven Sanchez,West_Coast,1/16,1.4,584,0.206,3,116,3.32,0.9992,CRITICAL,1
PL-0242,Andrew Robinson,Midwest,1/32,1.4,587,0.257,1,50,3.53,0.9973,CRITICAL,1
PL-0289,Jessica Gonzalez,Northeast,1/32,0.6,857,0.219,0,56,2.73,0.9963,CRITICAL,1
PL-0119,Elizabeth Walker,Mid-Atlantic,1/32,2.3,270,0.196,1,28,3.65,0.996,CRITICAL,1
PL-0150,William Hill,Northeast,1/32,0.8,818,0.145,1,12,3.18,0.9954,CRITICAL,1
PL-0290,Kenneth Hill,Northeast,1/8,0.7,848,0.193,1,14,3.3,0.9951,CRITICAL,1
PL-0253,Jessica Martinez,Midwest,1/16,1.8,427,0.147,1,22,3.8,0.9949,CRITICAL,1
PL-0303,Patricia Anderson,Mid-Atlantic,1/32,0.5,912,0.208,1,10,2.7,0.994,CRITICAL,1
PL-0206,Karen Lee,Midwest,1/32,1.0,712,0.272,2,35,3.28,0.9934,CRITICAL,1
PL-0103,Joseph Anderson,Mid-Atlantic,1/32,3.2,1005,0.398,3,15,3.83,0.9931,CRITICAL,1
PL-0255,Richard Robinson,Northeast,1/32,0.6,894,0.106,0,75,3.35,0.9928,CRITICAL,1
PL-0191,Helen Wilson,Midwest,1/16,0.7,848,0.096,0,8,3.8,0.9914,CRITICAL,1
PL-0173,Jessica Moore,West_Coast,1/16,4.5,561,0.243,0,11,2.9,0.9907,CRITICAL,1
PL-0008,Susan Williams,West_Coast,1/32,0.6,871,0.245,1,50,4.2,0.9902,CRITICAL,1
PL-0116,Nancy Lewis,West_Coast,1/32,5.2,304,0.297,1,26,2.7,0.9888,CRITICAL,1
PL-0296,William Rodriguez,Midwest,1/32,0.6,858,0.23,1,112,3.6,0.9883,CRITICAL,1
PL-0155,Anthony Robinson,West_Coast,1/32,0.7,829,0.241,0,22,3.6,0.9842,CRITICAL,1
PL-0112,Karen Flores,Northeast,1/8,0.6,881,0.216,2,5,3.4,0.983,CRITICAL,1
PL-0174,Linda White,Midwest,1/32,0.5,897,0.206,0,55,3.8,0.9788,CRITICAL,1
PL-0293,Ronald Allen,Mid-Atlantic,1/16,0.6,883,0.271,3,16,3.18,0.9772,CRITICAL,1
PL-0126,Kenneth Allen,Mid-Atlantic,1/4,0.6,895,0.185,0,8,3.8,0.9767,CRITICAL,1
PL-0349,Barbara Sanchez,Northeast,1/8,1.8,441,0.174,1,4,3.7,0.9763,CRITICAL,1
PL-0147,Sarah Jones,Mid-Atlantic,1/8,0.5,911,0.146,0,23,1.3,0.9697,CRITICAL,1
PL-0140,Ruth Johnson,Midwest,1/32,3.2,1021,0.339,0,86,3.77,0.9672,CRITICAL,1
PL-0274,Barbara Smith,Northeast,1/16,6.2,1032,0.447,2,14,3.5,0.9591,CRITICAL,1
PL-0282,William Miller,Northeast,1/32,5.8,58,0.502,3,6,3.58,0.9445,CRITICAL,1
PL-0324,Donna Anderson,West_Coast,1/16,3.0,19,0.307,0,57,4.0,0.9325,CRITICAL,1
PL-0120,Richard Ramirez,Northeast,1/16,0.7,830,0.471,4,14,2.6,0.9242,CRITICAL,1
PL-0283,Linda Martin,Southeast,1/32,1.7,462,0.328,1,14,2.3,0.816,CRITICAL,0
PL-0003,Sharon Brown,Mid-Atlantic,1/32,1.4,569,0.392,1,71,3.35,0.7897,CRITICAL,0
PL-0058,George Anderson,Midwest,1/16,2.5,174,0.334,1,9,3.55,0.632,HIGH,0
PL-0044,Mark Hill,Northeast,1/32,1.2,638,0.344,2,16,3.5,0.5694,HIGH,1
PL-0056,Patricia Thompson,Midwest,1/8,0.5,915,0.249,1,4,3.3,0.548,HIGH,0
PL-0270,George Moore,Northeast,1/16,2.2,296,0.297,0,30,4.5,0.4929,HIGH,0
PL-0169,Sarah White,Southeast,1/8,0.5,901,0.198,0,4,3.75,0.4719,HIGH,0
PL-0002,William Wright,West_Coast,1/32,3.0,7,0.346,1,7,2.67,0.4591,HIGH,1
PL-0230,Donna Lewis,Mid-Atlantic,1/32,3.3,992,0.462,1,27,2.65,0.4296,HIGH,0
PL-0231,Steven Walker,Northeast,1/16,2.1,320,0.389,2,19,2.5,0.3081,MEDIUM,0
PL-0347,Donna Walker,West_Coast,1/16,4.5,539,0.335,2,8,3.52,0.3015,MEDIUM,0
PL-0336,Linda King,West_Coast,1/16,3.4,958,0.547,5,6,2.44,0.2966,MEDIUM,1
PL-0109,Sarah Garcia,Southeast,1/16,0.5,911,0.242,0,15,3.53,0.2416,MEDIUM,0
PL-0317,Lisa Nguyen,Southeast,1/32,1.1,703,0.456,3,15,3.22,0.2163,MEDIUM,0
PL-0020,Elizabeth Clark,Mid-Atlantic,1/16,0.5,900,0.24,0,22,3.8,0.201,MEDIUM,0
PL-0143,John Wright,Mid-Atlantic,1/32,0.6,894,0.249,0,22,3.97,0.195,MEDIUM,0
PL-0185,Jennifer Perez,Northeast,1/32,0.8,787,0.501,2,13,2.15,0.1479,LOW,0
PL-0298,Elizabeth Allen,West_Coast,1/32,0.7,840,0.293,1,10,3.77,0.1257,LOW,1
PL-0151,Sarah Martin,Northeast,1/32,0.5,901,0.268,0,18,3.3,0.122,LOW,0
PL-0145,William Allen,Southeast,1/32,3.2,1021,0.46,0,21,3.9,0.1196,LOW,0
PL-0171,Edward Moore,Southeast,1/32,1.0,721,0.251,0,47,4.0,0.1108,LOW,0
PL-0228,Kenneth Thompson,Northeast,1/8,0.7,849,0.422,2,12,2.3,0.1099,LOW,0
PL-0338,William Martin,West_Coast,1/32,2.3,243,0.401,0,36,3.74,0.1013,LOW,0
PL-0233,William Brown,Northeast,1/32,3.0,1087,0.608,3,8,3.5,0.0989,LOW,0
PL-0132,Kenneth Garcia,West_Coast,1/32,3.9,755,0.47,1,28,3.83,0.0959,LOW,0
PL-0304,Laura Taylor,Mid-Atlantic,1/32,12.2,1011,0.625,2,6,3.44,0.0908,LOW,0
PL-0030,Thomas Thomas,Northeast,1/32,1.5,537,0.423,2,20,3.65,0.0882,LOW,0
PL-0057,Susan Flores,Mid-Atlantic,1/32,0.6,857,0.339,1,7,2.8,0.0867,LOW,0
PL-0294,Anthony Thomas,Midwest,1/16,0.6,887,0.273,0,13,3.9,0.0734,LOW,0
PL-0161,Michelle Allen,Northeast,1/32,0.5,909,0.346,1,20,2.8,0.0705,LOW,0
PL-0345,Patricia Taylor,Northeast,1/4,0.7,846,0.204,0,5,3.7,0.0705,LOW,0
PL-0337,Laura Lopez,Southeast,1/16,0.5,910,0.37,2,4,2.58,0.0698,LOW,0
PL-0335,Richard Smith,West_Coast,1/16,0.6,883,0.287,0,5,3.2,0.0618,LOW,0
