owner_id,owner_name,region,share_type,upsell_prob,upsell_type,upsell_ready
PL-0271,Lisa Clark,West_Coast,1/8,0.9995,SHARE_UPGRADE,1
PL-0186,Andrew Thomas,Southeast,1/32,0.9993,SHARE_UPGRADE,1
PL-0265,James Lee,Northeast,1/32,0.9991,SHARE_UPGRADE,1
PL-0148,Anthony Young,West_Coast,1/4,0.9991,SHARE_UPGRADE,1
PL-0009,Nancy Clark,West_Coast,1/16,0.9991,COBALTPASS_TO_FRACTIONAL,1
PL-0196,George King,West_Coast,1/16,0.9981,SHARE_UPGRADE,1
PL-0089,Elizabeth Thomas,Northeast,1/32,0.9966,JETFLY_INTRO,1
PL-0232,Jessica Sanchez,Mid-Atlantic,1/8,0.9964,JETFLY_INTRO,1
PL-0032,George Scott,West_Coast,1/16,0.9963,SHARE_UPGRADE,1
PL-0350,Ruth Hernandez,Midwest,1/32,0.996,SHARE_UPGRADE,1
PL-0011,Richard Nguyen,Mid-Atlantic,1/16,0.9955,SHARE_UPGRADE,1
PL-0033,Edward Scott,Northeast,1/16,0.9954,SHARE_UPGRADE,1
PL-0258,Linda Hill,Southeast,1/16,0.995,SHARE_UPGRADE,1
PL-0094,Joseph Martinez,Mid-Atlantic,1/8,0.995,COBALTPASS_TO_FRACTIONAL,1
PL-0315,Mark Garcia,Mid-Atlantic,1/16,0.9948,SHARE_UPGRADE,1
PL-0069,Patricia Hernandez,West_Coast,1/32,0.9946,SHARE_UPGRADE,1
PL-0226,James Garcia,Southeast,1/8,0.9933,COBALTPASS_TO_FRACTIONAL,1
PL-0012,Steven Miller,Southeast,1/16,0.9931,SHARE_UPGRADE,1
PL-0122,Barbara Anderson,Northeast,1/8,0.9916,SHARE_UPGRADE,1
PL-0244,William Williams,Southeast,1/16,0.9907,SHARE_UPGRADE,1
PL-0074,Helen Rodriguez,West_Coast,1/32,0.9897,COBALTPASS_TO_FRACTIONAL,1
PL-0208,John Clark,Midwest,1/16,0.9893,SHARE_UPGRADE,1
PL-0115,Lisa Martin,Midwest,1/32,0.989,SHARE_UPGRADE,1
PL-0123,Thomas Sanchez,Northeast,1/32,0.9887,SHARE_UPGRADE,1
PL-0078,Michael Thompson,Midwest,1/32,0.9883,SHARE_UPGRADE,1
PL-0183,Carol Anderson,Southeast,1/32,0.9876,SHARE_UPGRADE,1
PL-0036,Susan Smith,Southeast,1/32,0.9867,SHARE_UPGRADE,1
PL-0013,Ruth Brown,Mid-Atlantic,1/32,0.9863,COBALTPASS_TO_FRACTIONAL,1
PL-0194,Robert Ramirez,Mid-Atlantic,1/16,0.9841,SHARE_UPGRADE,1
PL-0102,Helen Flores,Northeast,1/32,0.9788,SHARE_UPGRADE,1
PL-0341,Sarah Anderson,West_Coast,1/16,0.9754,SHARE_UPGRADE,1
PL-0158,Karen Harris,Northeast,1/16,0.9736,JETFLY_INTRO,1
PL-0055,David Taylor,West_Coast,1/8,0.9709,SHARE_UPGRADE,1
PL-0106,George Martinez,Southeast,1/8,0.9629,SHARE_UPGRADE,1
PL-0312,Ronald Scott,Mid-Atlantic,1/32,0.955,SHARE_UPGRADE,1
PL-0209,Michael Johnson,Northeast,1/32,0.9511,SHARE_UPGRADE,1
PL-0285,David Flores,West_Coast,1/16,0.9503,SHARE_UPGRADE,1
PL-0167,Andrew Perez,West_Coast,1/32,0.9462,SHARE_UPGRADE,1
PL-0042,George Brown,Southeast,1/32,0.9425,SHARE_UPGRADE,1
PL-0076,Nancy Allen,Southeast,1/4,0.9417,SHARE_UPGRADE,1
PL-0243,George Hernandez,Mid-Atlantic,1/16,0.929,JETFLY_INTRO,1
PL-0184,Ronald Ramirez,Northeast,1/8,0.9245,SHARE_UPGRADE,1
PL-0267,Scott Scott,Northeast,1/4,0.9121,SHARE_UPGRADE,1
PL-0037,Sarah Jackson,Northeast,1/16,0.8739,SHARE_UPGRADE,1
PL-0165,Charles Clark,Northeast,1/8,0.8625,SHARE_UPGRADE,1
PL-0197,Jessica Miller,West_Coast,1/32,0.5531,NONE,0
PL-0137,Michelle Harris,Northeast,1/8,0.437,NONE,0
PL-0141,David Johnson,West_Coast,1/4,0.3898,SHARE_UPGRADE,1
PL-0035,David Lopez,Northeast,1/32,0.2989,NONE,0
PL-0070,Charles Nguyen,Northeast,1/16,0.2866,NONE,0
PL-0111,James Perez,Northeast,1/32,0.2754,NONE,0
PL-0318,James Williams,West_Coast,1/4,0.2469,NONE,0
PL-0152,James Walker,Mid-Atlantic,1/16,0.2381,NONE,0
PL-0323,Lisa Miller,Northeast,1/8,0.2114,JETFLY_INTRO,1
PL-0097,Patricia Ramirez,Northeast,1/4,0.1699,NONE,0
PL-0114,Sarah Brown,Northeast,1/32,0.1562,NONE,0
PL-0048,Sarah Thompson,Southeast,1/32,0.1324,NONE,0
PL-0305,Laura Moore,Mid-Atlantic,1/32,0.1274,NONE,0
PL-0168,Linda Smith,Southeast,1/32,0.1163,NONE,0
PL-0019,Nancy Hill,Northeast,1/16,0.1157,NONE,0
PL-0172,Richard Brown,West_Coast,1/4,0.11,NONE,0
PL-0029,Scott Brown,Midwest,1/16,0.1049,NONE,0
PL-0251,Steven Taylor,West_Coast,1/8,0.0948,NONE,0
PL-0128,Robert Robinson,Southeast,1/8,0.0848,NONE,0
PL-0308,Andrew White,Northeast,1/32,0.0725,NONE,0
PL-0162,Steven Anderson,Northeast,1/4,0.0643,NONE,0
PL-0277,Patricia Rodriguez,Northeast,1/8,0.0636,NONE,0
PL-0297,Steven Garcia,Northeast,1/8,0.0545,NONE,0
PL-0038,Brian Wright,Southeast,1/32,0.053,NONE,0
PL-0124,Thomas Smith,Southeast,1/8,0.0527,NONE,0
PL-0346,Patricia Lee,Southeast,1/4,0.0519,NONE,0
PL-0015,Anthony Nguyen,West_Coast,1/4,0.048,NONE,0
PL-0050,Anthony Walker,West_Coast,1/16,0.0431,NONE,0
PL-0164,Scott Lewis,Southeast,1/4,0.043,NONE,0
PL-0066,Kenneth Gonzalez,Northeast,1/8,0.0405,NONE,0
PL-0160,Helen Taylor,Northeast,1/4,0.0399,NONE,0
PL-0189,Kenneth Moore,Northeast,1/16,0.0388,NONE,0
PL-0084,Richard Scott,Southeast,1/16,0.0386,NONE,0
PL-0252,Ronald Thomas,Southeast,1/4,0.0328,NONE,0
PL-0016,Lisa Thomas,Northeast,1/4,0.0301,NONE,0
PL-0182,Patricia Jones,Northeast,1/4,0.03,NONE,0
PL-0064,Laura Flores,West_Coast,1/32,0.0293,NONE,0
PL-0181,Carol Sanchez,Southeast,1/4,0.0284,NONE,0
PL-0348,John Ramirez,Southeast,1/4,0.0263,NONE,0
PL-0236,Karen Martin,West_Coast,1/8,0.0222,NONE,0
PL-0134,George Nguyen,West_Coast,1/32,0.0219,NONE,0
PL-0131,Lisa Wilson,Southeast,1/8,0.0182,NONE,0
PL-0086,Elizabeth Lewis,Mid-Atlantic,1/8,0.0178,NONE,0
PL-0053,Helen Johnson,Northeast,1/32,0.0175,NONE,0
PL-0062,Susan Miller,Northeast,1/8,0.0173,NONE,0
PL-0240,Jennifer Smith,Midwest,1/16,0.0171,NONE,0
PL-0063,Linda Perez,Mid-Atlantic,1/8,0.0171,NONE,0
PL-0083,Carol Brown,Southeast,1/8,0.0166,NONE,0
PL-0311,Helen Brown,Mid-Atlantic,1/8,0.0165,NONE,0
PL-0314,Steven Torres,Southeast,1/8,0.0161,NONE,0
PL-0117,Karen Thompson,Mid-Atlantic,1/16,0.0161,NONE,0
PL-0260,Ronald Hill,West_Coast,1/32,0.0159,NONE,0
PL-0343,Karen Scott,Northeast,1/16,0.0158,NONE,0
PL-0247,Jennifer Anderson,West_Coast,1/32,0.0155,NONE,0
PL-0237,John Anderson,Mid-Atlantic,1/8,0.0153,NONE,0
PL-0177,Nancy Young,Northeast,1/8,0.0151,NONE,0
PL-0159,William Nguyen,Northeast,1/4,0.0151,NONE,0
PL-0193,Edward Martin,Midwest,1/8,0.015,NONE,0
PL-0214,William Wilson,Northeast,1/4,0.0134,NONE,0
PL-0104,Sarah Moore,Northeast,1/16,0.0129,NONE,0
PL-0309,Patricia Moore,Northeast,1/8,0.0128,NONE,0
PL-0328,Ronald Miller,Northeast,1/32,0.0128,NONE,0
PL-0212,Robert Perez,Mid-Atlantic,1/4,0.0125,NONE,0
PL-0284,Kevin Lee,Northeast,1/8,0.0122,NONE,0
PL-0059,Paul Johnson,Northeast,1/8,0.0115,NONE,0
PL-0071,Laura Hill,West_Coast,1/8,0.0115,NONE,0
PL-0133,Elizabeth Gonzalez,West_Coast,1/32,0.0114,NONE,0
PL-0278,Carol Martinez,Midwest,1/8,0.0108,NONE,0
PL-0339,Donna Smith,Midwest,1/16,0.0106,NONE,0
PL-0017,Jessica Garcia,Southeast,1/16,0.0098,NONE,0
PL-0307,Sharon Taylor,West_Coast,1/32,0.0097,NONE,0
PL-0216,Susan Taylor,West_Coast,1/8,0.0095,NONE,0
PL-0268,Brian Miller,Mid-Atlantic,1/32,0.0094,NONE,0
PL-0204,Kenneth Taylor,West_Coast,1/16,0.0093,NONE,0
PL-0028,Anthony Thompson,Southeast,1/4,0.0092,NONE,0
PL-0073,John Smith,Midwest,1/32,0.0091,NONE,0
PL-0068,Anthony Sanchez,Northeast,1/32,0.0089,NONE,0
PL-0081,Jennifer Hill,Southeast,1/16,0.0089,NONE,0
PL-0192,Jessica Harris,Mid-Atlantic,1/8,0.0088,NONE,0
PL-0280,Elizabeth Hernandez,Midwest,1/16,0.0087,NONE,0
PL-0014,Scott Wright,Southeast,1/16,0.0087,NONE,0
PL-0304,Laura Taylor,Mid-Atlantic,1/32,0.0085,NONE,0
PL-0207,Kevin King,Southeast,1/4,0.0084,NONE,0
PL-0211,Edward White,Mid-Atlantic,1/16,0.0084,NONE,0
PL-0005,William Thomas,Northeast,1/16,0.0083,NONE,0
PL-0306,Sarah Allen,Northeast,1/32,0.0081,JETFLY_INTRO,1
PL-0149,Kevin Jackson,Mid-Atlantic,1/8,0.0081,NONE,0
PL-0180,George Thomas,Mid-Atlantic,1/16,0.0077,NONE,0
PL-0047,Barbara Flores,Northeast,1/32,0.0077,NONE,0
PL-0224,Robert Martin,West_Coast,1/4,0.0076,NONE,0
PL-0113,Helen Thomas,Midwest,1/32,0.0074,NONE,0
