employee_id,pilot_name,role,base,type_ratings,duty_status,available_from,rest_hours_remaining,trips_ytd,currency_pc12,currency_pc24
EMP-10001,James Martinez,Captain,PSM,"PC-12,PC-24",VACATION,,0,162,CURRENT,CURRENT
EMP-10002,Maria Chen,First Officer,BVU,PC-12,ON_TRIP,,0,170,CURRENT,N/A
EMP-10003,Robert Williams,Captain,BVU,"PC-12,PC-24",AVAILABLE,06:00,0,322,CURRENT,CURRENT
EMP-10004,Linda Johnson,First Officer,BVU,PC-12,AVAILABLE,08:00,0,403,CURRENT,N/A
EMP-10005,David Davis,Captain,PSM,"PC-12,PC-24",ON_TRIP,,0,82,CURRENT,CURRENT
EMP-10006,Patricia Garcia,First Officer,PSM,PC-12,AVAILABLE,06:00,0,347,CURRENT,N/A
EMP-10007,Michael Wilson,First Officer,PSM,PC-12,AVAILABLE,05:00,0,407,CURRENT,N/A
EMP-10008,Susan Anderson,Captain,PSM,"PC-12,PC-24",ON_TRIP,,0,286,CURRENT,CURRENT
EMP-10009,William Taylor,Captain,BVU,"PC-12,PC-24",VACATION,,0,323,CURRENT,CURRENT
EMP-10010,Jessica Thomas,Captain,PSM,"PC-12,PC-24",VACATION,,0,387,CURRENT,CURRENT
EMP-10011,Richard Moore,Captain,PSM,PC-12,ON_REST,12:00,1,140,CURRENT,N/A
EMP-10012,Sandra Jackson,Captain,PSM,"PC-12,PC-24",AVAILABLE,08:00,0,154,CURRENT,CURRENT
EMP-10013,Charles Martin,Captain,PSM,PC-12,AVAILABLE,09:00,0,199,CURRENT,N/A
EMP-10014,Ashley Lee,Captain,PSM,"PC-12,PC-24",AVAILABLE,06:00,0,117,CURRENT,CURRENT
EMP-10015,Joseph Thompson,Captain,PSM,"PC-12,PC-24",AVAILABLE,07:00,0,190,CURRENT,CURRENT
EMP-10016,Dorothy White,First Officer,BVU,PC-12,ON_REST,16:00,6,277,CURRENT,N/A
EMP-10017,Thomas Harris,First Officer,PSM,PC-12,AVAILABLE,10:00,0,127,CURRENT,N/A
EMP-10018,Lisa Clark,Captain,BVU,PC-12,AVAILABLE,08:00,0,307,CURRENT,N/A
EMP-10019,Kevin Lewis,Captain,BVU,"PC-12,PC-24",VACATION,,0,195,CURRENT,CURRENT
EMP-10020,Nancy Robinson,Captain,BVU,"PC-12,PC-24",VACATION,,0,240,CURRENT,CURRENT
EMP-10021,Brian Walker,Captain,PSM,PC-12,VACATION,,0,207,CURRENT,N/A
EMP-10022,Betty Hall,First Officer,PSM,PC-12,AVAILABLE,09:00,0,121,CURRENT,N/A
EMP-10023,Mark Allen,First Officer,BVU,PC-12,ON_REST,16:00,1,337,CURRENT,N/A
EMP-10024,Ruth Young,Captain,PSM,PC-12,AVAILABLE,09:00,0,353,CURRENT,N/A
EMP-10025,Paul Scott,Captain,PSM,PC-12,AVAILABLE,08:00,0,228,CURRENT,N/A
EMP-10026,Sharon Adams,First Officer,PSM,PC-12,VACATION,,0,392,CURRENT,N/A
EMP-10027,Steven Baker,Captain,PSM,"PC-12,PC-24",VACATION,,0,389,CURRENT,CURRENT
EMP-10028,Helen Nelson,First Officer,BVU,PC-12,AVAILABLE,08:00,0,252,CURRENT,N/A
EMP-10029,Andrew Carter,Captain,PSM,"PC-12,PC-24",VACATION,,0,261,CURRENT,CURRENT
EMP-10030,Donna Mitchell,Captain,BVU,PC-12,AVAILABLE,06:00,0,407,CURRENT,N/A
EMP-10031,Kenneth Roberts,Captain,PSM,PC-12,VACATION,,0,198,CURRENT,N/A
EMP-10032,Carol Turner,First Officer,BVU,PC-12,AVAILABLE,08:00,0,81,CURRENT,N/A
